noise,visibility,t_onset,t_detect,participant
0.05,6.0,0.0,0.5761362909997843,A
0.05,7.0,3.8636034159999326,5.044356123999933,A
0.05,5.0,9.034928790999857,10.8037752489995,A
0.05,3.5,14.487235749999854,15.338081333999526,A
0.05,5.0,18.947139416000027,19.768051499000197,A
0.05,5.0,23.045230875000016,23.95572041600008,A
0.05,7.0,27.48137274999999,27.87494079099997,A
0.05,1.0,31.52004262499986,33.37103162499989,A
0.05,4.0,37.1578992499999,38.47526587499988,A
0.05,3.5,42.16228391599998,42.67529199899991,A
0.05,1.0,46.38228062500002,49.467357583000194,A
0.05,4.0,53.019346915999904,53.78651424899999,A
0.05,7.0,57.40806491600006,58.05125829100007,A
0.05,6.0,61.47853558299994,62.41942695799981,A
0.05,4.0,65.73109483300004,66.2273641669999,A
0.05,5.0,69.66799633300025,70.62741191600026,A
0.05,4.0,74.13758879099987,75.42655733299989,A
0.05,6.0,79.04322541600004,79.85166191600001,A
0.05,1.0,83.51375937500006,84.54785733300014,A
0.05,1.0,88.2685624579999,89.54933745799963,A
0.05,3.0,93.32218929100009,94.692103375,A
0.05,3.5,98.04272920799986,98.62833158300008,A
0.05,1.0,102.06288808299996,107.53239604200007,A
0.05,7.0,110.95311949999996,111.52366204200008,A
0.05,4.0,114.93999250000024,115.54057341599992,A
0.05,6.0,119.17677700000011,119.66883629199992,A
0.05,1.0,122.9972766249998,123.8042328749998,A
0.05,3.0,127.16730420800012,129.24436899900002,A
0.05,3.5,132.6883384580001,133.74934525000026,A
0.05,3.5,137.4762502909998,138.6367965409995,A
0.05,3.5,141.86088641600008,142.89157504100012,A
0.05,4.0,146.40014520800014,147.78075945799992,A
0.05,5.0,153.37305783300008,154.9890569989998,A
0.05,3.0,158.527205375,158.99686650000012,A
0.05,3.0,162.14508699999988,164.59621137500017,A
0.05,3.0,167.71825466600012,168.3172719989998,A
0.05,3.5,171.85530058299992,173.49340679100033,A
0.05,4.0,177.02615066599992,177.8373242499997,A
0.05,5.0,181.127738791,183.54844724900025,A
0.05,1.0,186.9174539579999,187.76542112499965,A
0.05,7.0,191.2048145409999,192.60580274999984,A
0.05,3.5,195.94019075000008,198.9887543750001,A
0.05,3.0,202.362510125,202.9887384169997,A
0.05,3.0,206.36539458300007,207.78875500000004,A
0.05,6.0,210.786228125,212.1409869580002,A
0.05,3.5,215.5922015410001,218.92592399900013,A
0.05,4.0,222.28106983299995,223.71790595799985,A
0.05,6.0,226.83311600000025,227.4607231250002,A
0.05,3.0,230.92113199999997,232.67780270899996,A
0.05,6.0,236.057742083,236.62921874899985,A
0.05,7.0,240.1270828749998,241.3340415839998,A
0.05,5.0,244.70022466599997,245.2304166240001,A
0.05,3.5,248.72015220799997,249.34340299999985,A
0.05,6.0,252.85692641600008,254.37462637499996,A
0.05,3.5,257.94283529099994,258.50966720800034,A
0.05,6.0,262.16485704100023,262.6623090410003,A
0.05,3.5,265.9329210410001,267.15761279100025,A
0.05,7.0,270.70539820800013,271.35881583300034,A
0.05,4.0,274.95922816600023,277.19111249900016,A
0.05,1.0,280.6299897499998,281.1828889999997,A
0.05,5.0,284.73428816600017,285.25485366600014,A
0.05,3.5,288.65404608300014,291.4231530830002,A
0.05,3.0,294.959513583,297.0552324989999,A
0.05,4.0,300.444442083,301.68581833300004,A
0.05,5.0,307.3017454579999,307.7829968330002,A
0.05,1.0,311.0729141659999,312.39935583299985,A
0.05,3.0,315.692149083,318.9271389999999,A
0.05,3.0,322.6994299580001,324.64742420799985,A
0.05,1.0,328.035701583,331.11883425,A
0.05,3.0,334.926898916,335.4802085000001,A
0.05,4.0,338.9461716249998,340.44781916700003,A
0.05,1.0,343.9000209159999,345.4878621659996,A
0.05,3.5,349.1212866249998,349.61603045899983,A
0.05,3.5,353.24191566599984,353.9119712079996,A
0.05,7.0,357.395553416,357.9838668319999,A
0.05,7.0,361.53152220799984,362.38366445799966,A
0.05,5.0,366.0362261250002,366.54475279100006,A
0.05,4.0,370.33973041599984,370.8644073329997,A
0.05,7.0,374.7099377909999,375.7605220409996,A
0.05,4.0,379.3140186250002,381.07222404200047,A
0.05,3.5,384.568448125,385.7922524579999,A
0.05,6.0,389.3710187500001,390.2965559170002,A
0.05,1.0,394.37645816600025,395.1289913740002,A
0.05,7.0,398.69711000000007,399.392876209,A
0.05,3.0,402.765435541,403.4555152910002,A
0.05,1.0,406.8040701660002,408.20886229100006,A
0.05,3.0,411.9741784580001,413.6567652920003,A
0.05,3.0,417.21266245800007,417.8733569160004,A
0.05,7.0,421.34814837500016,421.93650291600034,A
0.05,4.0,425.4196790830001,426.0329024580005,A
0.05,7.0,429.57328400000006,430.6892345000001,A
0.05,6.0,434.1773384580001,435.5070974579999,A
0.05,3.5,438.8302237080002,439.3528391660002,A
0.05,3.5,443.151500208,445.529597791,A
0.05,5.0,448.887805583,449.3525183739998,A
0.05,3.0,452.7761627499999,453.2736529999997,A
0.05,3.5,459.1484968750001,459.7301244160003,A
0.05,3.0,463.3179885,466.9698424590001,A
0.05,3.5,470.62471137500006,471.5459544580003,A
0.05,3.0,475.0273056659999,477.14593583299984,A
