location,noise,contrast,correct,RT
0.0,0.2,0.04,1.0,0.4394698749965755
0.0,0.2,0.53,1.0,0.7756156669929624
0.0,0.2,0.27,1.0,0.47158075000334065
0.0,0.2,0.14,1.0,0.4075575419992674
0.0,0.2,0.07,1.0,0.967583082994679
0.0,0.2,0.02,0.0,0.4236049169994658
0.0,0.2,0.01,0.0,0.6956733750121202
0.0,0.2,0.01,1.0,0.567660041997442
0.0,0.2,0.02,1.0,0.5436911660071928
0.0,0.2,0.07,1.0,0.5915749160049018
0.0,0.2,0.53,1.0,0.5435973330022534
0.0,0.2,0.27,1.0,0.4316407500009518
0.0,0.2,0.14,1.0,0.6407937500043772
0.0,0.2,0.04,1.0,0.7116594170074677
0.0,0.2,0.04,1.0,0.5356453330023214
0.0,0.2,0.27,1.0,0.43159970801207237
0.0,0.2,0.07,1.0,0.32761658300296403
0.0,0.2,0.02,1.0,0.4236267910018796
0.0,0.2,0.01,1.0,0.39159195800311863
0.0,0.2,0.53,1.0,0.48766724999586586
0.0,0.2,0.14,1.0,0.11964766698656604
0.0,0.2,0.27,1.0,0.35158412500459235
0.0,0.2,0.53,1.0,0.4955971249873983
0.0,0.2,0.04,0.0,0.607605124998372
0.0,0.2,0.02,0.0,0.6555877920036437
0.0,0.2,0.14,1.0,0.4316315420001047
0.0,0.2,0.01,1.0,0.5842320419906173
0.0,0.2,0.07,1.0,0.39163329200528096
0.0,0.2,0.02,1.0,0.43954845900589135
0.0,0.2,0.04,0.0,0.35958470799960196
0.0,0.2,0.27,1.0,0.3996520410000812
0.0,0.2,0.01,1.0,0.4556163750094129
0.0,0.2,0.14,1.0,0.47166920799645595
0.0,0.2,0.07,1.0,0.3914981669950066
0.0,0.2,0.53,0.0,0.5916044999903534
0.0,0.2,0.04,1.0,0.9678153749991907
0.0,0.2,0.27,1.0,0.39158016700821463
0.0,0.2,0.02,1.0,0.5996000000013737
0.0,0.2,0.07,1.0,0.847614042009809
0.0,0.2,0.01,1.0,0.6076104169915197
0.0,0.2,0.14,1.0,0.27159316699544434
0.0,0.2,0.53,1.0,0.7836519999982556
0.0,0.2,0.53,1.0,0.37560712499544024
0.0,0.2,0.27,1.0,0.4796277499990538
0.0,0.2,0.04,0.0,0.59160354200867
0.0,0.2,0.14,1.0,0.43156670800817665
0.0,0.2,0.07,0.0,0.679599084003712
0.0,0.2,0.02,1.0,0.6721169999946142
0.0,0.2,0.01,1.0,0.6128202909894753
0.0,0.2,0.14,1.0,0.32825858300202526
0.0,0.2,0.07,1.0,0.47955054200429004
0.0,0.2,0.02,0.0,0.43165104200306814
0.0,0.2,0.01,1.0,0.5035785829968518
0.0,0.2,0.04,0.0,0.5916084999917075
0.0,0.2,0.53,1.0,0.46359995800594334
0.0,0.2,0.27,1.0,0.8236503329972038
0.0,0.2,0.04,1.0,0.8636058749980293
