noise,visibility,t_onset,t_detect,participant
0.05,7.0,0.0,0.8858591250609607,pilot
0.05,1.0,5.348801041953266,7.368082209024578,pilot
0.05,3.5,12.23327812505886,16.021226916927844,pilot
0.05,3.0,19.972433750052005,21.04445262509398,pilot
0.05,5.0,24.70366683299653,25.374880833085623,pilot
0.05,5.0,29.18218100001104,29.926399666117504,pilot
0.05,6.0,33.71588995796628,35.43515170784667,pilot
0.05,4.0,39.13725862489082,40.1071813327726,pilot
0.05,3.0,43.722658958053216,44.62622441607528,pilot
0.05,5.0,48.31183895794675,49.14765766705386,pilot
0.05,4.0,52.882436624960974,53.691001165891066,pilot
0.05,5.0,57.000546499853954,57.97951958305202,pilot
0.05,3.5,61.30444149998948,62.27486070781015,pilot
0.05,6.0,65.67611220804974,67.61960854195058,pilot
0.05,3.0,71.76486574998125,73.47579670906998,pilot
0.05,4.0,77.35209012497216,78.31496558408253,pilot
0.05,7.0,81.85660062497482,84.05989841697738,pilot
0.05,5.0,87.79448708286509,90.5797033747658,pilot
0.05,3.5,94.91630091704428,95.75519983307458,pilot
0.05,5.0,99.72183599998245,101.98858624999411,pilot
0.05,1.0,106.56091025006026,108.6042912080884,pilot
0.05,4.0,112.86632545804603,115.0604528740514,pilot
0.05,3.5,119.1717944580596,120.17247612401844,pilot
0.05,7.0,123.82481504185124,124.66843537497334,pilot
0.05,5.0,128.36299016699195,129.56516883405857,pilot
0.05,3.5,133.5002783748787,135.2205786248669,pilot
0.05,3.5,138.9197637080215,141.82771783298813,pilot
0.05,4.0,145.86070454190485,148.5327180000022,pilot
0.05,5.0,153.85107433283702,154.717241874896,pilot
0.05,3.5,158.9721116248984,160.5170870409347,pilot
0.05,5.0,165.75928424997255,166.90822629095055,pilot
0.05,3.0,170.23429916705936,171.80030212528072,pilot
0.05,6.0,179.60413387487642,180.444015041925,pilot
0.05,1.0,183.7907027080655,184.68422362417917,pilot
0.05,1.0,188.01134966686368,191.31657820870169,pilot
0.05,6.0,194.70196991693228,195.6375087089837,pilot
0.05,3.0,199.5232935419772,200.7899974170141,pilot
0.05,1.0,205.2438067079056,206.48528983280997,pilot
0.05,3.0,211.9999881668482,212.90166766685437,pilot
0.05,6.0,221.12172674993053,223.7249652079772,pilot
0.05,4.0,227.6298517498653,229.03004987491292,pilot
0.05,3.0,234.8859057079535,236.54269149992612,pilot
0.05,7.0,240.7235660830047,241.43008595798165,pilot
0.05,3.0,245.49492220790123,246.92651545768604,pilot
